year;month;day;ff4_hf;sp500_hf;ONRUN2
1990;2;8;;;
1990;3;28;;;
1990;5;16;;;
1990;7;5;;;
1990;7;13;;;
1990;8;22;;;
1990;10;3;;;
1990;10;29;;;
1990;11;14;;;
1990;12;7;;;
1990;12;18;;;
1991;1;8;;;
1991;2;1;;;
1991;2;7;;;
1991;3;8;;;
1991;3;27;;;
1991;4;30;;;
1991;5;15;;;
1991;7;5;;;
1991;8;6;;;
1991;8;21;;;
1991;9;13;;;
1991;10;2;;;
1991;10;30;;;
1991;11;6;;;
1991;12;6;;;
1991;12;18;;;
1991;12;20;;;
1992;2;6;;;
1992;4;1;;;
1992;4;9;;;
1992;5;20;;;
1992;7;2;;;
1992;8;19;;;
1992;9;4;;;
1992;10;7;;;
1992;11;18;;;
1992;12;23;;;
1993;2;4;;;
1993;3;24;;;
1993;5;19;;;
1993;7;8;;;
1993;8;18;;;
1993;9;22;;;
1993;11;17;;;
1993;12;22;;;
1994;2;4;;;
1994;3;22;;;
1994;4;18;;;
1994;5;17;;;
1994;7;6;;;
1994;8;16;;;
1994;9;27;;;
1994;11;15;;;
1994;12;20;;;
1995;2;1;;;
1995;3;28;;;
1995;5;23;;;
1995;7;6;;;
1995;8;22;;;
1995;9;26;;;
1995;11;15;;;
1995;12;19;;;
1996;1;31;;;
1996;3;26;;;
1996;5;21;;;
1996;7;3;;;
1996;8;20;;;
1996;9;24;;;
1996;11;13;;;
1996;12;17;;;
1997;2;5;;;
1997;3;25;;;
1997;5;20;;;
1997;7;2;;;
1997;8;19;;;
1997;9;30;;;
1997;11;12;;;
1997;12;16;;;
1998;2;4;;;
1998;3;31;;;
1998;5;19;;;
1998;7;1;;;
1998;8;18;;;
1998;9;29;;;
1998;10;15;;;
1998;11;17;;;
1998;12;22;;;
1999;2;3;;;
1999;3;30;;;
1999;5;18;;;
1999;6;30;;;
1999;8;24;;;
1999;10;5;;;
1999;11;16;;;
1999;12;21;;;
2000;2;2;;;
2000;3;21;;;
2000;5;16;;;
2000;6;28;;;
2000;8;22;;;
2000;10;3;;;
2000;11;15;;;
2000;12;19;;;
2001;1;3;;;
2001;1;31;;;
2001;3;20;;;
2001;4;18;;;
2001;5;15;;;
2001;6;27;;;
2001;8;21;;;
2001;10;2;;;
2001;11;6;;;
2001;12;11;;;
2002;1;30;;;
2002;3;19;;;
2002;5;7;;;
2002;6;26;;;
2002;8;13;;;
2002;9;24;;;
2002;11;6;;;
2002;12;10;;;
2003;1;29;;;
2003;3;18;;;
2003;5;6;;;
2003;6;25;;;
2003;8;12;;;
2003;9;16;;;
2003;10;28;;;
2003;12;9;;;
2004;1;28;;;
2004;3;16;;;
2004;5;4;;;
2004;6;30;;;
2004;8;10;;;
2004;9;21;;;
2004;11;10;;;
2004;12;14;;;
2005;2;2;;;
2005;3;22;;;
2005;5;3;;;
2005;6;30;;;
2005;8;9;;;
2005;9;20;;;
2005;11;1;;;
2005;12;13;;;
2006;1;31;;;
2006;3;28;;;
2006;5;10;;;
2006;6;29;;;
2006;8;8;;;
2006;9;20;;;
2006;10;25;;;
2006;12;12;;;
2007;1;31;;;
2007;3;21;;;
2007;5;9;;;
2007;6;28;;;
2007;8;7;;;
2007;8;10;;;
2007;8;17;;;
2007;9;18;;;
2007;10;31;;;
2007;12;11;;;
2008;1;22;;;
2008;1;30;;;
2008;3;11;;;
2008;3;18;;;
2008;4;30;;;
2008;6;25;;;
2008;8;5;;;
2008;9;16;;;
2008;10;8;;;
2008;10;29;;;
2008;12;16;;;
2009;1;28;;;
2009;3;18;;;
2009;4;29;;;
2009;6;24;;;
2009;8;12;;;
2009;9;23;;;
2009;11;4;;;
2009;12;16;;;
2010;1;27;;;
2010;3;16;;;
2010;4;28;;;
2010;6;23;;;
2010;8;10;;;
2010;9;21;;;
2010;11;3;;;
2010;12;14;;;
2011;1;26;;;
2011;3;15;;;
2011;4;27;;;
2011;6;22;;;
2011;8;9;;;
2011;9;21;;;
2011;11;2;;;
2011;12;13;;;
2012;1;25;;;
2012;3;13;;;
2012;4;25;;;
2012;6;20;;;
2012;8;1;;;
2012;9;13;;;
2012;10;24;;;
2012;12;12;;;
2013;1;30;;;
2013;3;20;;;
2013;5;1;;;
2013;6;19;;;
2013;7;31;;;
2013;9;18;;;
2013;10;30;;;
2013;12;18;;;
2014;1;29;;;
2014;3;19;;;
2014;4;30;;;
2014;6;18;;;
2014;7;30;;;
2014;9;17;;;
2014;10;29;;;
2014;12;17;;;
2015;1;28;;;
2015;3;18;;;
2015;4;29;;;
2015;6;17;;;
2015;7;29;;;
2015;9;17;;;
2015;10;28;;;
2015;12;16;;;
2016;1;27;;;
2016;3;16;;;
2016;4;27;;;
2016;6;15;;;
2016;7;27;;;
2016;9;21;;;
2016;11;2;;;
2016;12;14;;;
2017;2;1;;;
2017;3;15;;;
2017;5;3;;;
2017;6;14;;;
2017;7;26;;;
2017;9;20;;;
2017;11;1;;;
2017;12;13;;;
2018;1;31;;;
2018;3;21;;;
2018;5;2;;;
2018;6;13;;;
2018;8;1;;;
2018;9;26;;;
2018;11;8;;;
2018;12;13;;;
2019;1;30;;;
2019;3;20;;;
2019;5;1;;;
2019;6;16;;;
